wl	n
1.61082	1.44252
1.61186	1.44250
1.61290	1.44249
1.61394	1.44248
1.61499	1.44247
1.61603	1.44246
1.61708	1.44245
1.61812	1.44244
1.61917	1.44243
1.62022	1.44242
1.62127	1.44241
1.62232	1.44240
1.62338	1.44239
1.62443	1.44237
1.62549	1.44236
1.62655	1.44235
1.62760	1.44234
1.62866	1.44233
1.62973	1.44232
1.63079	1.44231
1.63185	1.44230
1.63292	1.44228
1.63399	1.44227
1.63506	1.44226
1.63613	1.44225
1.63720	1.44224
1.63827	1.44223
1.63934	1.44222
1.64042	1.44221
1.64150	1.44219
1.64258	1.44218
1.64366	1.44217
1.64474	1.44216
1.64582	1.44215
1.64690	1.44214
1.64799	1.44213
1.64908	1.44211
1.65017	1.44210
1.65125	1.44209
1.65235	1.44208
1.65344	1.44207
1.65453	1.44206
1.65563	1.44204
1.65673	1.44203
1.65782	1.44202
1.65893	1.44201
1.66003	1.44200
1.66113	1.44199
1.66223	1.44197
1.66334	1.44196
1.66445	1.44195
1.66556	1.44194
1.66667	1.44193
1.66778	1.44191
1.66889	1.44190
1.67001	1.44189
1.67112	1.44188
1.67224	1.44187
1.67336	1.44185
1.67448	1.44184
1.67560	1.44183
1.67673	1.44182
1.67785	1.44180
1.67898	1.44179
1.68011	1.44178
1.68124	1.44177
1.68237	1.44176
1.68350	1.44174
1.68464	1.44173
1.68577	1.44172
1.68691	1.44171
1.68805	1.44169
1.68919	1.44168
1.69033	1.44167
1.69147	1.44166
1.69262	1.44164
1.69377	1.44163
1.69492	1.44162
1.69607	1.44161
1.69722	1.44159
1.69837	1.44158
1.69952	1.44157
1.70068	1.44156
1.70184	1.44154
1.70300	1.44153
1.70416	1.44152
1.70532	1.44150
1.70648	1.44149
1.70765	1.44148
1.70882	1.44147
1.70999	1.44145
1.71116	1.44144
1.71233	1.44143
1.71350	1.44141
1.71468	1.44140
1.71585	1.44139
1.71703	1.44137
1.71821	1.44136
1.71939	1.44135
1.72058	1.44133
1.72176	1.44132
1.72295	1.44131
1.72414	1.44130
1.72533	1.44128
1.72652	1.44127
1.72771	1.44126
1.72891	1.44124
1.73010	1.44123
1.73130	1.44121
1.73250	1.44120
1.73370	1.44119
1.73491	1.44117
1.73611	1.44116
1.73732	1.44115
1.73853	1.44113
1.73974	1.44112
1.74095	1.44111
1.74216	1.44109
1.74338	1.44108
1.74459	1.44107
1.74581	1.44105
1.74703	1.44104
1.74825	1.44102
1.74948	1.44101
1.75070	1.44100
1.75193	1.44098
1.75316	1.44097
1.75439	1.44095
1.75562	1.44094
1.75685	1.44093
1.75809	1.44091
1.75932	1.44090
1.76056	1.44088
1.76180	1.44087
1.76305	1.44085
1.76429	1.44084
1.76554	1.44083
1.76678	1.44081
1.76803	1.44080
1.76929	1.44078
1.77054	1.44077
1.77179	1.44075
1.77305	1.44074
1.77431	1.44073
1.77557	1.44071
1.77683	1.44070
1.77809	1.44068
1.77936	1.44067
1.78063	1.44065
1.78190	1.44064
1.78317	1.44062
1.78444	1.44061
1.78571	1.44059
1.78699	1.44058
1.78827	1.44056
1.78955	1.44055
1.79083	1.44053
1.79211	1.44052
1.79340	1.44050
1.79469	1.44049
1.79598	1.44047
1.79727	1.44046
1.79856	1.44044
1.79986	1.44043
1.80115	1.44041
1.80245	1.44040
1.80375	1.44038
1.80505	1.44037
1.80636	1.44035
1.80766	1.44034
1.80897	1.44032
1.81028	1.44030
1.81159	1.44029
1.81291	1.44027
1.81422	1.44026
1.81554	1.44024
1.81686	1.44023
1.81818	1.44021
1.81951	1.44020
1.82083	1.44018
1.82216	1.44016
1.82349	1.44015
1.82482	1.44013
1.82615	1.44012
1.82749	1.44010
1.82882	1.44008
1.83016	1.44007
1.83150	1.44005
1.83284	1.44004
1.83419	1.44002
1.83554	1.44000
1.83688	1.43999
1.83824	1.43997
1.83959	1.43996
1.84094	1.43994
1.84230	1.43992
1.84366	1.43991
1.84502	1.43989
1.84638	1.43987
1.84775	1.43986
1.84911	1.43984
1.85048	1.43982
1.85185	1.43981
1.85322	1.43979
1.85460	1.43977
1.85598	1.43976
1.85736	1.43974
1.85874	1.43972
1.86012	1.43971
1.86150	1.43969
1.86289	1.43967
1.86428	1.43966
1.86567	1.43964
1.86706	1.43962
1.86846	1.43961
1.86986	1.43959
1.87126	1.43957
1.87266	1.43955
1.87406	1.43954
1.87547	1.43952
1.87688	1.43950
1.87829	1.43948
1.87970	1.43947
1.88111	1.43945
1.88253	1.43943
1.88395	1.43941
1.88537	1.43940
1.88679	1.43938
1.88822	1.43936
1.88964	1.43934
1.89107	1.43933
1.89251	1.43931
1.89394	1.43929
1.89538	1.43927
1.89681	1.43925
1.89825	1.43924
1.89970	1.43922
1.90114	1.43920
1.90259	1.43918
1.90404	1.43916
1.90549	1.43915
1.90694	1.43913
1.90840	1.43911
1.90985	1.43909
1.91131	1.43907
1.91278	1.43906
1.91424	1.43904
1.91571	1.43902
1.91718	1.43900
1.91865	1.43898
1.92012	1.43896
1.92160	1.43894
1.92308	1.43893
1.92456	1.43891
1.92604	1.43889
1.92753	1.43887
1.92901	1.43885
1.93050	1.43883
1.93199	1.43881
1.93349	1.43879
1.93498	1.43877
1.93648	1.43875
1.93798	1.43874
1.93949	1.43872
1.94099	1.43870
1.94250	1.43868
1.94401	1.43866
1.94553	1.43864
1.94704	1.43862
1.94856	1.43860
1.95008	1.43858
1.95160	1.43856
1.95313	1.43854
1.95465	1.43852
1.95618	1.43850
1.95771	1.43848
1.95925	1.43846
1.96078	1.43844
1.96232	1.43842
1.96386	1.43840
1.96541	1.43838
1.96696	1.43836
1.96850	1.43834
1.97006	1.43832
1.97161	1.43830
1.97316	1.43828
1.97472	1.43826
1.97628	1.43824
1.97785	1.43822
1.97941	1.43820
1.98098	1.43818
1.98255	1.43816
1.98413	1.43814
1.98570	1.43812
1.98728	1.43810
1.98886	1.43808
1.99045	1.43806
1.99203	1.43803
1.99362	1.43801
1.99521	1.43799
1.99681	1.43797
1.99840	1.43795
2.00000	1.43793
2.00160	1.43791
2.00321	1.43789
2.00481	1.43787
2.00642	1.43784
2.00803	1.43782
2.00965	1.43780
2.01126	1.43778
2.01288	1.43776
2.01450	1.43774
2.01613	1.43771
2.01776	1.43769
2.01939	1.43767
2.02102	1.43765
2.02265	1.43763
2.02429	1.43760
2.02593	1.43758
2.02758	1.43756
2.02922	1.43754
2.03087	1.43752
2.03252	1.43749
2.03417	1.43747
2.03583	1.43745
2.03749	1.43743
2.03915	1.43740
2.04082	1.43738
2.04248	1.43736
2.04415	1.43734
2.04583	1.43731
2.04750	1.43729
2.04918	1.43727
2.05086	1.43725
2.05255	1.43722
2.05423	1.43720
2.05592	1.43718
2.05761	1.43715
2.05931	1.43713
2.06101	1.43711
2.06271	1.43708
2.06441	1.43706
2.06612	1.43704
2.06782	1.43701
2.06954	1.43699
2.07125	1.43697
2.07297	1.43694
2.07469	1.43692
2.07641	1.43689
2.07814	1.43687
2.07987	1.43685
2.08160	1.43682
2.08333	1.43680
2.08507	1.43677
2.08681	1.43675
2.08855	1.43673
2.09030	1.43670
2.09205	1.43668
2.09380	1.43665
2.09556	1.43663
2.09732	1.43660
2.09908	1.43658
2.10084	1.43655
2.10261	1.43653
2.10438	1.43650
2.10615	1.43648
2.10793	1.43645
2.10970	1.43643
2.11149	1.43640
2.11327	1.43638
2.11506	1.43635
2.11685	1.43633
2.11864	1.43630
2.12044	1.43628
2.12224	1.43625
2.12404	1.43623
2.12585	1.43620
2.12766	1.43617
2.12947	1.43615
2.13129	1.43612
2.13311	1.43610
2.13493	1.43607
2.13675	1.43604
2.13858	1.43602
2.14041	1.43599
2.14225	1.43597
2.14408	1.43594
2.14592	1.43591
2.14777	1.43589
2.14961	1.43586
2.15146	1.43583
2.15332	1.43581
2.15517	1.43578
2.15703	1.43575
2.15889	1.43573
2.16076	1.43570
2.16263	1.43567
2.16450	1.43564
2.16638	1.43562
2.16826	1.43559
2.17014	1.43556
2.17202	1.43553
2.17391	1.43551
2.17581	1.43548
2.17770	1.43545
2.17960	1.43542
2.18150	1.43540
2.18341	1.43537
2.18531	1.43534
2.18723	1.43531
2.18914	1.43528
2.19106	1.43525
2.19298	1.43523
2.19491	1.43520
2.19684	1.43517
2.19877	1.43514
2.20070	1.43511
2.20264	1.43508
2.20459	1.43505
2.20653	1.43503
2.20848	1.43500
2.21043	1.43497
2.21239	1.43494
2.21435	1.43491
2.21631	1.43488
2.21828	1.43485
2.22025	1.43482
2.22222	1.43479
2.22420	1.43476
2.22618	1.43473
2.22816	1.43470
2.23015	1.43467
2.23214	1.43464
2.23414	1.43461
2.23614	1.43458
2.23814	1.43455
2.24014	1.43452
2.24215	1.43449
2.24417	1.43446
2.24618	1.43443
2.24820	1.43440
2.25023	1.43437
2.25225	1.43434
2.25428	1.43431
2.25632	1.43427
2.25836	1.43424
2.26040	1.43421
2.26244	1.43418
2.26449	1.43415
2.26655	1.43412
2.26860	1.43409
2.27066	1.43405
2.27273	1.43402
2.27480	1.43399
2.27687	1.43396
2.27894	1.43393
2.28102	1.43389
2.28311	1.43386
2.28519	1.43383
2.28728	1.43380
2.28938	1.43376
2.29148	1.43373
2.29358	1.43370
2.29568	1.43367
2.29779	1.43363
2.29991	1.43360
2.30203	1.43357
2.30415	1.43353
2.30627	1.43350
2.30840	1.43347
2.31054	1.43343
2.31267	1.43340
2.31481	1.43337
2.31696	1.43333
2.31911	1.43330
2.32126	1.43326
2.32342	1.43323
2.32558	1.43319
2.32775	1.43316
2.32992	1.43313
2.33209	1.43309
2.33427	1.43306
2.33645	1.43302
2.33863	1.43299
2.34082	1.43295
2.34302	1.43292
2.34522	1.43288
2.34742	1.43285
2.34962	1.43281
2.35183	1.43278
2.35405	1.43274
2.35627	1.43270
2.35849	1.43267
2.36072	1.43263
2.36295	1.43260
2.36518	1.43256
2.36742	1.43252
2.36967	1.43249
2.37192	1.43245
2.37417	1.43241
2.37643	1.43238
2.37869	1.43234
2.38095	1.43230
2.38322	1.43227
2.38550	1.43223
2.38777	1.43219
2.39006	1.43215
2.39234	1.43212
2.39464	1.43208
2.39693	1.43204
2.39923	1.43200
2.40154	1.43197
2.40385	1.43193
2.40616	1.43189
2.40848	1.43185
2.41080	1.43181
2.41313	1.43177
2.41546	1.43173
2.41779	1.43170
2.42014	1.43166
2.42248	1.43162
2.42483	1.43158
2.42718	1.43154
2.42954	1.43150
2.43191	1.43146
2.43427	1.43142
2.43665	1.43138
2.43902	1.43134
2.44141	1.43130
2.44379	1.43126
2.44618	1.43122
2.44858	1.43118
2.45098	1.43114
2.45339	1.43110
2.45580	1.43106
2.45821	1.43102
2.46063	1.43097
2.46305	1.43093
2.46548	1.43089
2.46792	1.43085
2.47036	1.43081
2.47280	1.43077
2.47525	1.43072
2.47770	1.43068
2.48016	1.43064
2.48262	1.43060
2.48509	1.43056
2.48756	1.43051
2.49004	1.43047
2.49252	1.43043
2.49501	1.43038
2.49750	1.43034
2.50000	1.43030
2.50250	1.43025
2.50501	1.43021
2.50752	1.43017
2.51004	1.43012
2.51256	1.43008
2.51509	1.43003
2.51762	1.42999
2.52016	1.42995
2.52270	1.42990
2.52525	1.42986
2.52781	1.42981
2.53036	1.42977
2.53293	1.42972
2.53550	1.42968
2.53807	1.42963
2.54065	1.42958
2.54323	1.42954
2.54582	1.42949
2.54842	1.42945
2.55102	1.42940
2.55363	1.42935
2.55624	1.42931
2.55885	1.42926
2.56148	1.42921
2.56410	1.42917
2.56674	1.42912
2.56937	1.42907
2.57202	1.42902
2.57467	1.42898
2.57732	1.42893
2.57998	1.42888
2.58264	1.42883
2.58532	1.42878
2.58799	1.42873
2.59067	1.42869
2.59336	1.42864
2.59605	1.42859
2.59875	1.42854
2.60146	1.42849
2.60417	1.42844
2.60688	1.42839
2.60960	1.42834
2.61233	1.42829
2.61506	1.42824
2.61780	1.42819
2.62055	1.42814
2.62329	1.42809
2.62605	1.42804
2.62881	1.42799
2.63158	1.42793
2.63435	1.42788
2.63713	1.42783
2.63992	1.42778
2.64271	1.42773
2.64550	1.42767
2.64831	1.42762
2.65111	1.42757
2.65393	1.42752
2.65675	1.42746
2.65957	1.42741
2.66241	1.42736
2.66525	1.42730
2.66809	1.42725
2.67094	1.42720
2.67380	1.42714
2.67666	1.42709
2.67953	1.42703
2.68240	1.42698
2.68528	1.42692
2.68817	1.42687
2.69107	1.42681
2.69397	1.42676
2.69687	1.42670
2.69978	1.42665
2.70270	1.42659
2.70563	1.42653
2.70856	1.42648
2.71150	1.42642
2.71444	1.42636
2.71739	1.42631
2.72035	1.42625
2.72331	1.42619
2.72628	1.42614
2.72926	1.42608
2.73224	1.42602
2.73523	1.42596
2.73823	1.42590
2.74123	1.42584
2.74424	1.42578
2.74725	1.42573
2.75028	1.42567
2.75330	1.42561
2.75634	1.42555
2.75938	1.42549
2.76243	1.42543
2.76549	1.42537
2.76855	1.42530
2.77162	1.42524
2.77469	1.42518
2.77778	1.42512
2.78087	1.42506
2.78396	1.42500
2.78707	1.42494
2.79018	1.42487
2.79330	1.42481
2.79642	1.42475
2.79955	1.42468
2.80269	1.42462
2.80584	1.42456
2.80899	1.42449
2.81215	1.42443
2.81532	1.42437
2.81849	1.42430
2.82167	1.42424
2.82486	1.42417
2.82805	1.42411
2.83126	1.42404
2.83447	1.42398
2.83768	1.42391
2.84091	1.42384
2.84414	1.42378
2.84738	1.42371
2.85063	1.42364
2.85388	1.42358
2.85714	1.42351
2.86041	1.42344
2.86369	1.42337
2.86697	1.42330
2.87026	1.42324
2.87356	1.42317
2.87687	1.42310
2.88018	1.42303
2.88351	1.42296
2.88684	1.42289
2.89017	1.42282
2.89352	1.42275
2.89687	1.42268
2.90023	1.42261
2.90360	1.42254
2.90698	1.42246
2.91036	1.42239
2.91375	1.42232
2.91715	1.42225
2.92056	1.42218
2.92398	1.42210
2.92740	1.42203
2.93083	1.42196
2.93427	1.42188
2.93772	1.42181
2.94118	1.42173
2.94464	1.42166
2.94811	1.42158
2.95159	1.42151
2.95508	1.42143
2.95858	1.42136
2.96209	1.42128
2.96560	1.42120
2.96912	1.42113
2.97265	1.42105
2.97619	1.42097
2.97974	1.42089
2.98329	1.42082
2.98686	1.42074
2.99043	1.42066
2.99401	1.42058
2.99760	1.42050
3.00120	1.42042
3.00481	1.42034
3.00842	1.42026
3.01205	1.42018
3.01568	1.42010
3.01932	1.42002
3.02297	1.41994
3.02663	1.41985
3.03030	1.41977
3.03398	1.41969
3.03767	1.41961
3.04136	1.41952
3.04507	1.41944
3.04878	1.41935
3.05250	1.41927
3.05623	1.41918
3.05998	1.41910
3.06373	1.41901
3.06748	1.41893
3.07125	1.41884
3.07503	1.41875
3.07882	1.41867
3.08261	1.41858
3.08642	1.41849
3.09023	1.41840
3.09406	1.41832
3.09789	1.41823
3.10174	1.41814
3.10559	1.41805
3.10945	1.41796
3.11333	1.41787
3.11721	1.41778
3.12110	1.41769
3.12500	1.41759
3.12891	1.41750
3.13283	1.41741
3.13676	1.41732
3.14070	1.41722
3.14465	1.41713
3.14861	1.41704
3.15259	1.41694
3.15657	1.41685
3.16056	1.41675
3.16456	1.41666
3.16857	1.41656
3.17259	1.41646
3.17662	1.41637
3.18066	1.41627
3.18471	1.41617
3.18878	1.41607
3.19285	1.41598
3.19693	1.41588
3.20102	1.41578
3.20513	1.41568
3.20924	1.41558
3.21337	1.41548
3.21750	1.41537
3.22165	1.41527
3.22581	1.41517
3.22997	1.41507
3.23415	1.41496
3.23834	1.41486
3.24254	1.41476
3.24675	1.41465
3.25098	1.41455
3.25521	1.41444
3.25945	1.41434
3.26371	1.41423
3.26797	1.41412
3.27225	1.41401
3.27654	1.41391
3.28084	1.41380
3.28515	1.41369
3.28947	1.41358
3.29381	1.41347
3.29815	1.41336
3.30251	1.41325
3.30688	1.41314
3.31126	1.41302
3.31565	1.41291
3.32005	1.41280
3.32447	1.41269
3.32889	1.41257
3.33333	1.41246
3.33778	1.41234
3.34225	1.41223
3.34672	1.41211
3.35121	1.41199
3.35570	1.41187
3.36022	1.41176
3.36474	1.41164
3.36927	1.41152
3.37382	1.41140
3.37838	1.41128
3.38295	1.41116
3.38753	1.41104
3.39213	1.41092
3.39674	1.41079
3.40136	1.41067
3.40599	1.41055
3.41064	1.41042
3.41530	1.41030
3.41997	1.41017
3.42466	1.41004
3.42936	1.40992
3.43407	1.40979
3.43879	1.40966
3.44353	1.40953
3.44828	1.40940
3.45304	1.40927
3.45781	1.40914
3.46260	1.40901
3.46741	1.40888
3.47222	1.40875
3.47705	1.40861
3.48189	1.40848
3.48675	1.40835
3.49162	1.40821
3.49650	1.40807
3.50140	1.40794
3.50631	1.40780
3.51124	1.40766
3.51617	1.40752
3.52113	1.40738
3.52609	1.40724
3.53107	1.40710
3.53607	1.40696
3.54108	1.40682
3.54610	1.40668
3.55114	1.40653
3.55619	1.40639
3.56125	1.40624
3.56633	1.40610
3.57143	1.40595
3.57654	1.40580
3.58166	1.40566
3.58680	1.40551
3.59195	1.40536
3.59712	1.40521
3.60231	1.40505
3.60750	1.40490
3.61272	1.40475
3.61795	1.40460
3.62319	1.40444
3.62845	1.40429
3.63372	1.40413
3.63901	1.40397
3.64431	1.40381
3.64964	1.40366
3.65497	1.40350
3.66032	1.40334
3.66569	1.40317
3.67107	1.40301
3.67647	1.40285
3.68189	1.40269
3.68732	1.40252
3.69276	1.40235
